,State,Year,NOR(I),NOE(I),NOR(O),NOE(O)
170,MO,1992,61937,127764,54951,111554
171,WY,1992,11258,23842,10620,22351
172,AK,1992,17702,37874,16849,37851
173,GA,1992,113040,236910,82179,174420
174,SC,1992,53060,112276,47515,102454
175,IA,1992,29125,59439,30295,57495
176,SD,1992,11576,23832,10491,21147
177,NH,1992,20087,37221,19925,35370
178,NV,1992,46691,91722,31284,62650
179,MI,1992,57931,115205,74415,141832
180,AR,1992,34591,77466,26671,57937
181,WA,1992,90635,182652,63846,130649
182,MT,1992,16983,35209,12093,24022
183,OK,1992,44325,97845,41315,90986
184,PA,1992,90384,176386,94226,174143
185,NC,1992,107593,223917,81380,171589
186,MD,1992,71818,137377,72104,141650
187,KY,1992,44871,95831,38830,82851
188,FL,1992,233566,454438,179982,352961
189,IL,1992,96732,184579,114691,228436
190,CA,1992,205155,372838,315822,659933
191,VA,1992,119006,242098,105046,215961
192,IN,1992,57160,120224,52568,103320
193,TX,1992,194391,427891,164360,364587
194,TN,1992,72268,154710,54604,115208
195,RI,1992,11396,20651,13965,26587
196,NE,1992,20573,44427,21180,45085
197,ID,1992,24005,54812,15946,34465
198,CT,1992,33195,60452,46731,83912
199,MS,1992,30147,66553,27101,58512
200,AZ,1992,86586,175622,60551,125265
201,KS,1992,39273,84299,38792,84132
202,LA,1992,40963,87613,47079,105139
203,NM,1992,34996,76991,28416,64630
204,SD,2009,11511.0,21355.0,10510.0,18879.0
205,OK,2009,39457.0,82495.0,33850.0,69412.0
206,MO,2009,56831.0,107771.0,56599.0,106692.0
207,NE,2009,19397.0,37845.0,19215.0,36747.0
208,WY,2009,11374.0,21788.0,12097.0,22738.0
209,MD,2009,71334.0,126969.0,69998.0,125020.0
210,IL,2009,88260.0,155553.0,108985.0,196522.0
211,CO,2009,76764.0,142526.0,64332.0,120974.0
212,NH,2009,17699.0,29359.0,19610.0,31558.0
213,MI,2009,49753.0,91775.0,77407.0,142183.0
214,DE,2009,13181.0,23739.0,12068.0,22055.0
